Wavenumber,0.0255,0.051,0.1019,0.2039,0.3058,0.4078,0.5097
850.4539,-2.15E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
852.3823,-3.24E-04,-5.35E-05,-1.59E-05,4.00E-05,-3.39E-05,-4.08E-04,2.27E-04
854.3108,-2.12E-04,-2.85E-04,-2.36E-04,2.48E-04,5.04E-05,-3.16E-04,2.53E-05
856.2393,-3.28E-04,-2.12E-04,-7.50E-04,4.67E-04,1.20E-04,1.08E-04,-1.13E-04
858.1677,-2.19E-04,2.54E-05,-6.30E-04,3.02E-04,-1.17E-04,2.54E-04,-1.87E-04
860.0962,9.70E-06,1.18E-04,1.34E-04,1.26E-04,-2.11E-04,4.71E-06,-2.71E-04
862.0247,1.82E-04,5.93E-05,3.83E-04,1.99E-05,-1.70E-04,1.52E-04,-3.05E-04
863.9531,6.67E-05,7.33E-05,1.99E-04,-1.26E-04,-7.71E-05,2.21E-04,-2.55E-04
865.8816,-1.85E-04,-8.77E-05,-1.17E-05,-2.52E-04,2.67E-04,-5.98E-05,1.76E-04
867.8101,-2.99E-04,-3.51E-04,-2.94E-04,-2.01E-04,2.53E-04,-1.29E-04,9.15E-05
869.7385,-2.75E-04,-1.28E-04,-3.27E-04,-2.62E-04,-4.51E-05,-1.39E-04,-1.62E-04
871.667,-1.28E-04,3.81E-05,6.34E-05,-5.81E-04,-1.82E-04,-3.22E-04,-2.89E-04
873.5955,-1.92E-04,-2.31E-05,1.64E-04,-5.25E-04,-8.39E-05,-3.31E-04,-2.73E-04
875.5239,-5.10E-04,-2.12E-05,-1.53E-04,-2.33E-04,-4.16E-05,-1.84E-04,1.59E-05
877.4524,-5.21E-04,-9.18E-05,-4.70E-04,-1.05E-04,-2.27E-04,1.23E-05,2.26E-04
879.3809,-3.73E-04,-1.72E-04,-4.62E-04,3.16E-04,-2.65E-04,1.05E-04,2.28E-04
881.3093,-2.30E-04,-1.32E-04,-2.51E-04,2.17E-04,-1.47E-04,-8.17E-05,2.42E-04
883.2378,-2.43E-04,1.03E-04,-2.05E-04,-2.20E-04,3.66E-05,-1.56E-04,1.63E-04
885.1663,-3.76E-04,7.91E-05,2.04E-05,-2.63E-04,-2.80E-05,-8.93E-05,2.78E-04
887.0947,-3.47E-05,1.07E-05,1.91E-04,2.46E-04,-2.94E-05,-1.58E-05,2.54E-04
889.0232,2.41E-04,3.03E-05,-3.62E-05,4.47E-04,1.91E-04,3.72E-05,1.98E-04
890.9517,6.39E-05,6.26E-05,-3.31E-04,2.27E-04,3.87E-05,1.34E-04,5.31E-05
892.8801,-8.14E-05,-3.68E-05,-7.17E-05,-2.03E-04,2.91E-05,1.05E-04,-4.68E-05
894.8085,-1.49E-04,-1.28E-04,-2.06E-04,-1.83E-04,3.02E-04,2.41E-05,4.78E-06
896.737,-2.09E-04,-3.88E-04,-3.27E-04,1.61E-04,3.34E-04,2.07E-04,3.38E-05
898.6655,-1.72E-04,-4.79E-04,-1.68E-04,5.35E-05,5.24E-05,4.46E-04,1.12E-04
900.5939,-2.94E-04,-2.38E-04,-3.44E-05,-1.44E-04,-2.24E-04,1.48E-04,1.07E-04
902.5224,-5.15E-04,5.41E-05,2.40E-04,-1.85E-04,-1.10E-04,-9.96E-05,2.17E-05
904.4509,-2.95E-04,7.58E-05,1.80E-04,-4.68E-05,1.15E-04,-2.82E-04,3.13E-05
906.3793,-1.37E-04,-1.57E-04,-1.18E-04,-3.69E-05,9.70E-05,-2.55E-04,9.14E-05
908.3078,-1.68E-05,-2.97E-04,9.09E-05,-8.37E-05,-1.34E-05,8.98E-05,4.78E-05
910.2363,1.28E-04,-3.25E-04,1.22E-04,7.76E-05,-5.27E-05,1.60E-04,-1.64E-04
912.1647,-4.30E-05,-2.61E-04,-1.52E-04,1.67E-04,3.92E-06,3.50E-05,-2.50E-04
914.0932,-1.39E-04,-1.75E-04,7.36E-05,7.70E-05,3.15E-04,-1.29E-04,-2.08E-04
916.0217,4.33E-05,-2.30E-04,1.54E-04,1.35E-04,4.40E-04,-5.06E-05,-1.57E-04
917.9501,1.57E-04,-1.39E-04,-3.92E-04,1.02E-04,2.83E-04,-1.71E-05,-1.26E-04
919.8786,1.03E-04,-1.95E-05,-4.00E-04,-9.78E-05,1.46E-04,-1.65E-05,-2.62E-05
921.8071,4.09E-05,1.29E-04,-1.72E-04,-4.17E-04,3.64E-04,2.47E-04,2.15E-05
923.7355,1.02E-04,1.49E-04,3.87E-05,-1.31E-04,3.39E-04,2.33E-04,2.68E-05
925.664,2.82E-04,1.59E-04,1.17E-04,2.59E-04,1.12E-04,1.90E-04,3.79E-05
927.5925,1.73E-04,1.37E-04,-1.50E-04,9.98E-05,5.25E-05,1.96E-04,8.34E-05
929.5209,-3.30E-05,-1.18E-04,-5.78E-04,-1.49E-04,1.51E-04,-7.19E-05,-4.45E-05
931.4494,-2.38E-05,-1.56E-04,-6.03E-04,-1.42E-04,5.73E-05,-1.60E-04,-2.31E-04
933.3779,-1.41E-05,2.12E-04,-2.19E-04,5.93E-05,-5.70E-06,-2.04E-05,-2.89E-04
935.3063,6.41E-05,2.30E-04,-8.65E-05,4.29E-04,1.34E-04,6.52E-05,-2.05E-04
937.2348,2.16E-04,1.22E-04,-2.55E-05,4.49E-04,2.93E-04,-2.05E-04,-3.33E-05
939.1633,2.04E-04,1.14E-04,7.79E-05,2.67E-04,2.70E-04,-4.65E-04,-2.72E-05
