,Actual Mixture,Fructose,HMF,Levulinic Acid,Formic Acid,Sum
Wavenumber,Concentration,0.399854589,0.130896704,0.535333688,0.266305519,
850.4673,2.40E-05,-3.47E-04,-0.000203157,3.00E-04,5.26E-05,-1.98E-04
852.3958,-1.40E-04,-7.54E-05,-0.000220905,1.72E-04,5.27E-04,0.000402013
854.3243,2.22E-04,2.68E-04,-9.10871E-05,-1.29E-04,5.47E-04,5.95E-04
856.2528,6.00E-04,6.11E-04,-1.97E-04,-2.97E-05,9.34E-05,0.000477677
858.1813,8.68E-04,0.000764928,-1.84E-04,1.96E-04,-2.28E-05,0.000754678
860.1098,1.11E-03,1.08E-03,-8.34E-05,2.13E-04,1.33E-04,1.34E-03
862.0383,1.29E-03,1.38E-03,-1.29E-04,1.81E-04,9.16E-06,1.44E-03
863.9668,1.40E-03,0.001563342,-1.24E-04,-4.46E-05,-9.85E-05,0.001296315
865.8953,1.43E-03,1.78E-03,4.05E-05,-1.43E-04,-1.86E-04,0.001490549
867.8238,1.45E-03,0.001938717,2.97E-04,-1.71E-05,-1.70E-04,2.05E-03
869.7523,1.55E-03,0.00193222,7.09E-04,6.16E-06,3.06E-05,2.68E-03
871.6808,1.35E-03,0.001948323,0.000594558,-1.63E-04,1.75E-04,0.002554405
873.6093,9.63E-04,0.001644599,0.000167547,-3.55E-04,5.29006E-05,1.51E-03
875.5378,7.29E-04,1.32E-03,1.0616E-05,-3.84E-04,-1.76E-05,9.33E-04
877.4662,5.34E-04,1.07E-03,6.35625E-05,-3.14E-04,-6.33E-05,7.56E-04
879.3948,2.86E-04,5.72E-04,1.22E-04,-1.63E-05,-1.81E-04,4.97E-04
881.3232,2.34E-04,2.93E-04,1.57E-04,4.01E-05,-1.48E-05,4.76E-04
883.2518,8.02E-06,3.06E-04,-8.84E-05,-1.46E-04,-7.12E-05,5.37E-07
885.1802,-9.61E-05,2.96E-04,8.81E-05,2.30E-05,-1.87E-04,2.20E-04
887.1088,-2.00E-04,8.56E-05,1.73E-04,5.04E-05,-4.96E-05,2.59E-04
889.0372,5.35E-05,9.02E-05,2.69E-04,-3.09E-05,2.23E-04,5.51E-04
890.9658,5.08E-04,3.14E-04,2.40E-04,-1.55295E-05,4.19E-04,9.58E-04
892.8942,6.74E-04,3.84E-04,2.26E-04,-0.00011973,2.55E-04,7.46E-04
894.8227,5.94E-04,2.73E-04,2.13E-04,-9.24E-05,6.00E-05,4.53E-04
896.7512,2.00E-04,1.47E-04,9.65556E-05,2.27E-04,2.15E-04,6.86E-04
898.6797,-4.95E-05,2.16E-04,-2.48E-04,1.85E-04,1.16E-04,2.68E-04
900.6082,-9.51E-05,3.09E-04,-3.18E-04,4.88E-06,-1.38E-04,-1.42E-04
902.5367,-1.47E-04,2.00E-04,-7.81E-05,-1.37E-04,-1.55E-04,-1.70E-04
904.4652,-2.40E-04,-7.77E-05,0.000195966,-3.01E-04,3.94E-05,-0.000142852
