,Actual Mixture,Fructose,HMF,Levulinic Acid,Formic Acid,Sum
Wavenumber,Concentration,0.249909118,0.245431319,0.250937666,0.249661424,
850.4673,-3.69E-04,4.05E-04,-0.002071049,5.11E-04,-5.48E-04,-0.0017
852.3958,3.53E-05,5.11E-04,-0.00151279,2.73E-04,-4.10E-04,-0.00114
854.3243,1.40E-04,6.94E-04,-0.001129339,5.48E-04,-2.89E-04,-1.76E-04
856.2528,-1.36E-04,9.13E-04,-7.44E-04,9.73E-04,1.77E-04,0.00132
858.1813,-6.81E-04,0.001210889,-8.55E-04,7.45E-04,3.21E-04,0.00142
860.1098,-1.01E-04,0.001008916,-8.82E-04,8.07E-04,5.59E-05,9.91E-04
862.0383,7.82E-04,8.41E-04,-8.05E-04,9.08E-04,-1.44E-05,9.29E-04
863.9668,3.44E-04,0.001066996,-7.50E-04,8.52E-04,-1.19E-04,0.00105
865.8953,1.72E-04,0.00129212,-8.92E-04,8.23E-04,1.21E-04,0.00134
867.8238,7.32E-04,0.001459892,-9.67E-04,3.74E-04,-2.31E-04,6.36E-04
869.7523,6.11E-04,0.001503916,-0.001234622,2.48E-04,-1.75E-04,3.42E-04
871.6808,3.31E-04,0.001775901,-0.001312058,7.32E-04,1.21E-04,0.00132
873.6093,1.87E-04,0.001376819,-0.001278861,6.10E-04,0,7.08E-04
875.5378,-6.34E-05,0.001006939,-0.00110777,6.51E-04,7.65E-05,6.27E-04
877.4662,-1.63E-05,2.30E-04,-0.001107503,8.49E-04,-1.82E-04,-2.11E-04
879.3948,-1.33E-04,-1.59E-04,-7.93E-04,7.39E-04,-1.98E-04,-4.11E-04
881.3232,-1.13E-04,3.65E-05,-6.36E-04,8.71E-04,3.84E-04,6.56E-04
883.2518,8.21E-05,-2.47E-04,-6.67E-04,7.20E-04,-9.41E-05,-2.88E-04
885.1802,2.70E-04,-1.74E-04,-6.97E-04,8.11E-04,-3.65E-04,-4.25E-04
887.1088,-2.66E-04,2.45E-04,-6.52E-04,7.53E-04,-5.27E-04,-1.81E-04
889.0372,-4.42E-04,2.47E-04,-3.69E-04,7.28E-04,-6.25E-04,-1.93E-05
890.9658,-6.86E-05,-2.05E-04,-5.84E-04,0.001090483,-8.61E-04,-5.59E-04
892.8942,5.27E-04,-3.38E-05,-7.07E-04,0.001267917,-5.13E-04,1.33E-05
894.8227,3.10E-04,4.37E-05,-0.00109199,6.32E-04,-6.80E-05,-4.84E-04
896.7512,2.29E-04,3.28E-05,-0.001108919,7.74E-04,-4.93E-06,-3.07E-04
898.6797,2.72E-04,2.81E-04,-5.05E-04,7.12E-04,-5.62E-05,4.31E-04
900.6082,3.17E-04,4.32E-04,-4.11E-04,2.31E-04,1.77E-04,4.29E-04
902.5367,2.30E-05,2.67E-04,-7.61E-04,2.06E-04,7.06E-05,-2.17E-04
904.4652,-8.10E-05,2.36E-04,-0.001030092,-3.46E-04,-7.20E-05,-0.00121
906.3937,-7.86E-05,5.88E-04,-6.63E-04,-5.38E-04,2.34E-04,-3.79E-04
908.3222,1.98E-05,7.30E-04,-3.07E-04,-5.38E-05,4.51E-04,8.20E-04
910.2507,1.51E-04,8.05E-04,-6.41E-05,5.66E-04,-1.55E-04,0.00115
912.1792,3.27E-04,8.49E-04,1.45E-05,6.46E-04,-3.95E-04,0.00112
914.1077,5.81E-04,0.001009037,-2.24E-04,3.09E-04,-3.35E-04,7.59E-04
916.0362,6.37E-04,6.69E-04,9.79E-06,5.54E-04,1.42E-04,0.00138
917.9647,3.04E-04,4.54E-04,6.36E-05,8.96E-04,3.34E-04,0.00175
919.8932,3.95E-04,6.97E-04,-1.33E-04,5.06E-04,9.18E-05,0.00116
921.8217,5.44E-04,7.23E-04,2.35E-05,6.00E-04,-1.53E-04,0.00119
923.7502,1.74E-04,6.98E-04,-7.06E-06,0.001064974,-1.76E-04,0.00158
925.6786,1.76E-06,7.83E-04,5.66E-05,5.74E-04,-2.73E-04,0.00114
927.6072,-1.29E-04,7.53E-04,-2.84E-05,-2.09E-04,-1.53E-04,3.63E-04
929.5356,-2.65E-04,6.21E-04,-2.63E-04,-1.06E-04,3.62E-04,6.15E-04
931.4642,8.85E-05,5.59E-04,1.32E-04,1.61E-05,4.34E-04,0.00114
933.3926,7.43E-05,6.49E-04,5.13E-04,-1.86E-04,1.16E-04,0.00109
935.3212,-1.88E-04,5.05E-04,5.89E-04,2.48E-04,-7.32E-05,0.00127
937.2496,1.21E-05,4.31E-04,8.89E-04,4.51E-04,-6.81E-05,0.0017
939.1782,6.53E-04,5.81E-04,9.17E-04,-1.26E-04,3.85E-04,0.00176
941.1066,0.001021895,9.84E-04,9.17E-04,-2.48E-04,4.89E-04,0.00214
943.0352,0.001019934,8.00E-04,6.83E-04,-3.89E-05,-8.45E-06,0.00144
944.9636,5.08E-04,3.18E-04,9.22E-04,-2.70E-04,-2.60E-05,9.44E-04
946.8922,5.24E-05,-1.95E-04,0.001531311,-1.41E-04,3.88E-04,0.00158
948.8206,2.42E-04,-1.11E-04,0.001260583,4.48E-05,3.02E-04,0.0015
950.7491,2.43E-04,2.39E-04,9.11E-04,-2.01E-04,1.50E-04,0.0011
952.6776,-4.71E-05,1.29E-04,7.58E-04,-5.47E-04,-2.23E-04,1.17E-04
954.6061,-1.42E-04,-1.98E-04,7.07E-04,-1.51E-04,-2.91E-04,6.61E-05
956.5346,7.90E-05,3.54E-04,9.38E-04,3.16E-04,-2.10E-04,0.0014
958.4631,4.81E-04,8.04E-04,0.001037661,2.47E-04,-1.57E-04,0.00193
960.3916,9.19E-04,0.001235233,9.43E-04,2.48E-06,1.00E-04,0.00228
962.3201,0.001891168,0.001885088,0.001402064,-3.34E-05,3.66E-04,0.00362
964.2486,0.002991309,0.002375519,0.00202478,-1.80E-04,5.06E-04,0.00473
966.1771,0.004161988,0.002078503,0.00245827,-3.99E-04,2.59E-04,0.0044
968.1056,0.004662871,0.001893767,0.00305173,-4.51E-04,9.50E-05,0.00459
970.0341,0.003875765,0.00222729,0.00256952,-1.73E-04,4.53E-05,0.00467
971.9626,0.002626519,0.002599195,0.001969063,2.65E-04,1.06E-04,0.00494
973.8911,0.002198002,0.002366725,0.001435514,3.32E-04,-1.67E-04,0.00397
975.8196,0.00246717,0.002291864,0.001034656,3.83E-04,-2.41E-04,0.00347
977.7481,0.002888193,0.002726421,9.87E-04,1.84E-04,3.11E-04,0.00421
979.6766,0.003465956,0.003052171,0.001122327,-2.26E-06,2.08E-04,0.00438
981.6051,0.003750001,0.003296861,0.00142148,6.08E-05,1.57E-05,0.00479
983.5336,0.003763616,0.002787806,0.001636605,1.09E-04,1.20E-04,0.00465
985.4621,0.004058075,0.002084758,0.002145626,-1.64E-04,-2.28E-05,0.00404
987.3906,0.003937212,0.001484769,0.00214452,1.20E-04,-1.13E-04,0.00364
989.3191,0.0037593,0.001242253,0.0023682,4.70E-04,-1.14E-04,0.00397
991.2476,0.004026532,0.001318959,0.003005235,5.61E-04,-1.13E-04,0.00477
993.1761,0.003912931,9.43E-04,0.003489985,2.68E-04,-1.31E-04,0.00457
995.1046,0.003723087,0.001113373,0.003370568,1.39E-05,-1.53E-04,0.00435
997.0331,0.003552999,0.001404609,0.002656256,2.14E-04,4.95E-05,0.00432
998.9615,0.003311681,0.00125992,0.00286247,2.93E-04,2.76E-04,0.00469
1000.89,0.00345668,0.001587782,0.003328644,3.10E-04,5.65E-04,0.00579
1002.819,0.003363703,0.002074028,0.003292237,2.85E-04,7.43E-04,0.00639
