,Actual Mixture,Fructose,HMF,Levulinic Acid,Formic Acid,Sum
1251.595,0.009792134,0.003451183,6.64E-04,0.004798157,0.001226716,0.0101
1253.523,0.009512864,0.003233307,9.94E-04,0.004556786,9.80E-04,0.00976
1255.452,0.009033701,0.002798591,8.93E-04,0.004595818,9.21E-04,0.00921
1257.38,0.008789681,0.002545635,5.59E-04,0.004379555,7.29E-04,0.00821
1259.309,0.008878067,0.002345561,4.25E-04,0.003931913,6.00E-04,0.0073
1261.237,0.008722747,0.002652172,5.22E-04,0.003775885,6.20E-04,0.00757
1263.166,0.008049644,0.003076556,5.85E-04,0.003734146,8.35E-04,0.00823
1265.094,0.007579434,0.00297678,3.81E-04,0.003445357,8.01E-04,0.0076
1267.023,0.00735568,0.002714963,8.20E-04,0.00298433,4.01E-04,0.00692
1268.951,0.00695724,0.002618927,0.001115266,0.00275547,3.98E-04,0.00689
1270.88,0.006854557,0.002456631,0.001107573,0.002549143,5.65E-04,0.00668
1272.808,0.006788687,0.002264796,0.001150202,0.002417853,7.06E-04,0.00654
1274.737,0.006703063,0.002296417,0.001033237,0.002653527,5.46E-04,0.00653
1276.665,0.006707173,0.002148396,0.001326165,0.002960694,3.80E-04,0.00681
1278.594,0.0068732,0.001794842,0.001839275,0.002788737,4.92E-04,0.00692
1280.522,0.00719397,0.001833573,0.00230901,0.002551314,3.35E-04,0.00703
1282.451,0.007590266,0.00176989,0.002709584,0.002736501,-6.34E-05,0.00715
1284.379,0.007819706,0.001753166,0.002678527,0.002768566,-7.83E-05,0.00712
1286.308,0.007639463,0.001764912,0.002690451,0.00252375,2.55E-04,0.00723
1288.236,0.007350203,0.001632872,0.002674678,0.002880076,3.75E-04,0.00756
1290.165,0.006786139,0.001620551,0.002646221,0.003034158,1.05E-04,0.00741
1292.093,0.006535429,0.001564106,0.00209196,0.002758995,3.15E-05,0.00645
1294.022,0.006249306,0.001387476,0.001544521,0.002603628,2.40E-04,0.00578
1295.95,0.005699566,0.001543261,0.001304843,0.002454868,2.23E-04,0.00553
1297.879,0.005482882,0.001907724,0.00122478,0.002294475,-1.38E-04,0.00529
1299.807,0.005152442,0.001697172,9.74E-04,0.002282112,-3.79E-04,0.00457
1301.736,0.004837369,0.001592424,0.001054445,0.0023915,-2.81E-04,0.00476
1303.664,0.004661699,0.001580443,0.001081813,0.002316654,1.10E-04,0.00509
1305.593,0.004589895,0.001698862,7.95E-04,0.002021996,2.14E-04,0.00473
1307.521,0.004728485,0.002258772,2.48E-04,0.001700889,3.47E-04,0.00456
1309.45,0.004787832,0.002415654,3.64E-04,0.00176836,3.23E-04,0.00487
1311.378,0.004584302,0.002305174,5.72E-04,0.001739007,3.78E-04,0.00499
1313.307,0.004523028,0.002359683,6.99E-04,0.001577914,5.98E-04,0.00523
1315.235,0.004764568,0.002374295,7.65E-04,0.001815562,4.33E-04,0.00539
1317.164,0.004913195,0.002261892,6.57E-04,0.00204142,1.95E-04,0.00516
1319.092,0.004877175,0.002000047,8.81E-04,0.002047232,-8.51E-06,0.00492
1321.021,0.005091541,0.001751358,0.001335504,0.00185603,-1.33E-04,0.00481
