,Actual Mixture,Fructose,HMF,Levulinic Acid,Formic Acid,Sum
Wavenumber,Concentration,0.133284863,0.261793407,0.401500266,0.532611039,
850.4673,3.05E-05,1.57E-04,2.71044E-05,7.68E-04,2.96E-04,0.001247957
852.3958,-2.89E-05,4.68E-04,0.000112511,6.70E-04,-7.08E-05,0.001180098
854.3243,1.63E-07,3.84E-04,0.000153918,2.96E-04,-3.07E-04,5.28E-04
856.2528,6.01E-05,3.23E-04,-4.15E-05,-2.06E-05,-4.19E-04,-0.000158101
858.1813,8.54E-05,0.000366064,-8.17E-05,-1.72E-04,-3.92E-04,-0.000280052
860.1098,1.44E-04,0.00029406,-1.75E-04,-5.39E-05,-4.17E-05,2.38E-05
862.0383,1.33E-04,4.97E-04,-4.60E-04,-1.77E-04,1.06E-04,-3.50E-05
863.9668,7.87E-05,0.000584177,-1.13E-04,-2.96E-04,1.16E-04,0.000291654
865.8953,-1.01E-05,0.000816936,2.21E-04,-1.22E-04,-5.56E-05,0.000860908
867.8238,1.04E-04,0.00081657,5.62E-05,-2.71E-04,-1.12E-04,4.89E-04
869.7523,3.68E-04,0.000760157,-9.11671E-05,-9.47E-05,-2.42E-04,3.32E-04
871.6808,5.46E-04,0.000673455,-0.000164729,2.36E-04,-2.14E-05,0.000723454
873.6093,2.31E-04,0.000399096,7.50181E-05,2.16E-04,0.000356208,1.05E-03
875.5378,6.06E-05,0.000594617,0.000121889,2.61E-04,4.56E-04,1.43E-03
877.4662,3.20E-04,6.57E-04,4.55274E-05,3.60E-04,2.88E-04,1.35E-03
879.3948,1.61E-04,3.22E-04,6.47E-05,3.92E-04,-4.21E-05,7.37E-04
881.3232,-4.38E-05,1.83E-04,1.71E-04,1.88E-04,-4.15E-04,1.26E-04
883.2518,3.15E-04,4.50E-06,-2.48E-05,1.91E-04,-2.28E-04,-5.70E-05
885.1802,4.77E-04,1.87E-05,-1.49E-04,4.48E-04,2.10E-04,5.28E-04
887.1088,6.01E-04,1.68E-05,-1.41E-04,3.38E-04,2.11E-04,4.25E-04
889.0372,6.53E-04,8.68E-05,-1.22E-04,2.14E-04,3.46E-05,2.14E-04
890.9658,5.31E-04,3.61E-04,2.21E-04,0.000274045,-2.15E-04,6.41E-04
892.8942,7.18E-04,2.22E-04,1.34E-04,0.00029633,-2.22E-04,4.29E-04
894.8227,8.36E-04,1.47E-04,-6.10807E-05,3.74E-04,1.67E-06,4.62E-04
896.7512,5.05E-04,2.20E-04,6.95675E-05,2.48E-04,2.76E-04,8.13E-04
898.6797,2.88E-04,1.32E-04,1.27E-04,4.61E-05,1.49E-04,4.55E-04
900.6082,2.59E-04,2.70E-04,1.53E-04,-2.55E-05,-6.54E-05,3.33E-04
902.5367,3.92E-04,2.58E-04,1.78E-04,9.69E-05,-1.07E-04,4.26E-04
