,Actual Mixture,Fructose,HMF,Levulinic Acid,Formic Acid,Sum
Wavenumber,Concentration,0.399854589,0.392690111,0.401500266,0.399458279,
850.4673,3.34E-04,3.89E-04,1.85E-03,-7.56E-04,-2.86E-04,1.20E-03
852.3958,5.13E-04,4.56E-04,0.001361822,-7.63E-04,-1.25E-04,9.30E-04
854.3243,4.88E-04,4.86E-04,0.001214864,-9.31E-04,1.87E-04,9.56E-04
856.2528,5.49E-04,6.29E-04,1.32E-03,-1.01E-03,1.52E-04,1.09E-03
858.1813,8.98E-04,0.000854614,1.44E-03,-9.71E-04,-1.61E-04,1.16E-03
860.1098,1.04E-03,0.001090056,1.42E-03,-1.09E-03,-2.50E-04,1.16E-03
862.0383,1.14E-03,1.42E-03,1.14E-03,-1.12E-03,-1.68E-04,1.28E-03
863.9668,1.57E-03,0.001695557,9.75E-04,-8.58E-04,-7.77E-05,1.73E-03
865.8953,0.001883803,0.002055631,1.03E-03,-1.00E-03,1.38E-04,2.22E-03
867.8238,0.001932956,0.002065184,0.0010108,-9.25E-04,1.18E-04,2.27E-03
869.7523,0.001266525,0.001742476,9.47E-04,-5.30E-04,2.05E-04,2.36E-03
871.6808,0.000690377,0.001591094,1.09E-03,-5.65E-04,1.29E-04,0.002244597
873.6093,8.47E-04,0.001382308,0.001263981,-5.85E-04,-1.34E-04,0.001927145
875.5378,7.05E-04,0.001104542,0.001221436,-3.18E-04,-3.46E-05,0.001973518
877.4662,3.59E-04,8.12E-04,9.01E-04,-1.70E-04,-5.73E-05,0.001486227
879.3948,1.31E-04,3.72E-04,7.28E-04,-3.39E-04,-3.48E-05,7.25E-04
881.3232,1.57E-04,2.47E-05,8.92E-04,-3.75E-04,7.07E-05,6.13E-04
883.2518,1.05E-04,-2.40E-05,9.91E-04,-5.27E-04,3.10E-05,4.72E-04
885.1802,2.22E-04,-3.81E-06,0.00111503,-5.86E-04,1.81E-04,7.06E-04
887.1088,1.51E-04,3.30E-05,0.001092795,-5.29E-04,2.31E-04,8.28E-04
889.0372,-1.18E-04,8.25E-05,0.000894547,-5.49E-04,1.24E-04,5.52E-04
890.9658,-5.81E-05,8.73E-05,8.09E-04,-5.12E-04,2.92E-04,6.76E-04
892.8942,7.77E-05,1.17E-04,7.80E-04,-3.44E-04,3.36E-04,8.89E-04
894.8227,2.44E-04,2.34E-04,5.86E-04,-1.14E-04,5.87E-05,7.64E-04
896.7512,9.31E-05,2.62E-04,4.66E-04,9.81E-05,1.12E-04,9.39E-04
898.6797,-2.59E-04,1.15E-04,2.77E-04,4.38E-05,3.88E-04,8.24E-04
900.6082,-3.90E-04,2.39E-04,3.97E-04,-1.41E-04,1.47E-04,6.42E-04
902.5367,-3.25E-04,1.73E-04,6.89E-04,-0.000450326,-0.000108619,3.04E-04
904.4652,-4.15E-04,-6.35E-06,7.14E-04,-4.43E-04,-6.04E-05,2.05E-04
906.3937,-5.64E-04,-1.14E-05,6.77E-04,-1.68E-04,1.83E-04,6.81E-04
908.3222,-5.83E-04,1.81E-04,4.64E-04,-1.21E-04,1.88E-04,7.11E-04
910.2507,-4.57E-04,4.25E-04,2.96E-04,-3.43E-04,0.00E+00,3.77E-04
912.1792,-3.54E-04,6.31E-04,1.79E-04,-1.69E-04,-1.13E-04,5.27E-04
914.1077,-2.27E-04,0.000688076,7.28E-05,-6.70E-05,-1.31E-05,6.81E-04
916.0362,4.56E-05,8.33E-04,1.62E-05,-1.58E-04,-8.22E-05,6.09E-04
917.9647,0.000276265,9.13E-04,6.29E-05,1.23E-05,-2.14E-04,7.74E-04
919.8932,0.000355928,1.16E-03,2.44E-04,6.97E-05,-2.60E-04,1.21E-03
921.8217,3.59E-04,1.31E-03,1.86E-04,2.51E-05,-1.69E-04,1.35E-03
923.7502,2.30E-04,1.12E-03,-5.50E-05,-3.33E-05,1.71E-04,0.001200433
925.6786,1.20E-04,9.12E-04,-7.55E-06,-8.98E-05,2.70E-04,1.08E-03
927.6072,4.57E-05,6.65E-04,-4.91E-05,-1.19E-04,2.18E-04,7.15E-04
929.5356,2.89E-05,6.15E-04,-1.65E-04,-5.22E-05,2.27E-04,6.24E-04
931.4642,8.52E-05,4.46E-04,1.87E-04,1.24E-05,1.04E-04,7.50E-04
933.3926,1.29E-04,3.66E-04,5.32E-04,4.54E-05,1.16E-04,1.06E-03
935.3212,4.54E-04,4.96E-04,7.65E-04,1.07E-04,2.44E-04,1.61E-03
937.2496,7.31E-04,4.23E-04,9.90E-04,2.28E-04,3.95E-04,2.04E-03
939.1782,0.000722917,3.93E-04,0.00126256,2.57E-04,1.82E-04,2.09E-03
941.1066,0.000687965,2.86E-04,0.0014912,1.89E-04,1.61E-04,2.13E-03
943.0352,8.66E-04,1.61E-04,0.001765032,1.17E-04,9.90E-05,2.14E-03
944.9636,8.74E-04,1.60E-04,0.001911117,1.03E-04,3.66E-05,0.002210896
946.8922,6.74E-04,2.06E-06,0.001732809,9.13E-05,1.43E-04,0.001969528
948.8206,4.64E-04,-2.67E-05,0.001461482,1.29E-04,1.72E-04,1.73E-03
950.7491,1.09E-04,4.36E-05,0.001364003,1.87E-04,1.72E-04,1.77E-03
952.6776,-7.78E-06,1.04E-04,0.001285889,1.15E-04,-1.32E-04,1.37E-03
954.6061,1.92E-04,3.31E-04,0.001194732,-1.69E-04,-2.16E-04,1.14E-03
956.5346,5.06E-04,5.27E-04,0.001207659,-2.73E-04,-5.28E-05,1.41E-03
958.4631,0.001130933,7.00E-04,0.001335247,-1.14E-04,-2.41E-05,1.90E-03
960.3916,0.001886565,0.001273888,0.001660055,1.03E-04,2.25E-05,3.06E-03
962.3201,0.00314838,0.00221291,0.002092018,-1.51E-05,1.99E-04,4.49E-03
964.2486,0.005016452,0.003018811,0.002709864,-1.82E-04,1.64E-04,0.005711055
966.1771,0.006598753,0.003494903,0.003567196,-6.10E-05,1.12E-04,0.007112943
968.1056,0.007177225,0.003649318,0.004039322,-1.87E-05,1.17E-04,0.007787017
970.0341,0.006298617,0.003343666,0.003639554,-4.98E-05,6.01E-05,0.006993592
971.9626,0.004735549,0.002986137,0.002479874,6.10E-05,-6.08E-05,0.005466174
973.8911,0.004161021,0.00310744,0.001650938,7.56E-05,-1.50E-04,0.004683676
975.8196,0.004511862,0.00347885,1.12E-03,-2.30E-05,-2.51E-04,0.004320662
977.7481,0.005024874,0.004015231,1.02E-03,1.27E-04,-2.14E-04,0.004945496
979.6766,0.005740526,0.004570591,0.00121687,2.86E-04,-1.46E-05,0.006059231
