,Actual Mixture,Fructose,HMF,Levulinic Acid,Formic Acid,Sum
Wavenumber,Concentration,0.454380215,0.446238763,0.456250302,0.453929862,
850.4673,-2.46E-04,4.05E-04,9.63E-04,-4.78E-04,-4.86E-04,2.15E-04
852.3958,-4.63E-04,5.11E-04,0.001133619,-8.31E-04,-3.59E-04,2.43E-04
854.3243,-3.22E-04,6.94E-04,0.001122948,-9.53E-04,-3.85E-05,6.69E-04
856.2528,-1.68E-04,9.13E-04,8.15E-04,-8.42E-04,1.42E-04,8.81E-04
858.1813,5.76E-05,0.001210889,9.33E-04,-5.47E-04,2.43E-05,1.29E-03
860.1098,2.38E-04,0.001008916,8.92E-04,-1.39E-04,-1.57E-04,1.66E-03
862.0383,5.19E-04,8.41E-04,8.09E-04,-1.83E-04,-3.64E-04,1.65E-03
863.9668,8.22E-04,0.001066996,7.87E-04,-1.73E-04,-2.15E-04,2.17E-03
865.8953,0.001360409,0.00129212,8.96E-04,1.29E-04,-2.06E-04,2.79E-03
867.8238,0.001544725,0.001459892,0.0010374,1.04E-04,-1.65E-04,2.78E-03
869.7523,0.001455791,0.001503916,8.98E-04,1.49E-04,3.14E-06,2.74E-03
871.6808,0.001176142,0.001775901,8.98E-04,1.05E-04,-1.12E-04,0.002532006
873.6093,7.46E-04,0.001376819,0.00110792,7.01E-06,-3.36E-04,0.00218103
875.5378,4.81E-04,0.001006939,0.001083508,6.02E-05,-2.05E-04,0.002055218
877.4662,3.14E-04,2.30E-04,9.13E-04,5.49E-05,-3.93E-04,0.001411564
879.3948,2.34E-04,-1.59E-04,7.33E-04,1.23E-04,-5.40E-04,8.45E-04
881.3232,-1.18E-04,3.65E-05,6.23E-04,2.29E-04,-4.85E-04,6.18E-04
883.2518,-2.17E-04,-2.47E-04,7.93E-04,3.24E-04,-3.89E-04,9.74E-04
885.1802,-5.75E-05,-1.74E-04,0.00100738,3.63E-04,-2.69E-04,1.22E-03
887.1088,1.45E-04,2.45E-04,0.001147498,5.06E-04,-1.21E-04,1.43E-03
889.0372,2.93E-04,2.47E-04,0.001006489,6.07E-04,-8.32E-06,1.53E-03
890.9658,4.37E-04,-2.05E-04,6.73E-04,6.81E-04,8.98E-05,1.50E-03
892.8942,6.49E-04,-3.38E-05,6.85E-04,6.55E-04,-1.02E-04,1.43E-03
894.8227,7.01E-04,4.37E-05,7.49E-04,4.72E-04,-3.17E-04,1.19E-03
896.7512,7.51E-04,3.28E-05,6.54E-04,4.58E-04,-1.51E-04,1.30E-03
898.6797,5.30E-04,2.81E-04,5.35E-04,3.27E-04,3.20E-05,1.10E-03
900.6082,3.81E-04,4.32E-04,4.88E-04,1.07E-04,1.71E-05,5.96E-04
902.5367,3.96E-04,2.67E-04,4.86E-04,0,0,4.19E-04
904.4652,1.28E-04,2.36E-04,2.72E-04,1.70E-05,1.43E-04,5.24E-04
906.3937,-5.07E-05,5.88E-04,-1.06E-04,-1.34E-04,3.72E-04,5.36E-04
908.3222,-6.90E-05,7.30E-04,-3.96E-05,-4.54E-04,3.11E-04,2.39E-04
910.2507,-1.56E-05,8.05E-04,3.61E-04,-3.58E-04,1.76E-04,4.82E-04
912.1792,2.62E-04,8.49E-04,2.51E-04,-2.10E-04,6.27E-05,7.21E-04
914.1077,4.14E-04,0.001009037,1.82E-05,2.33E-05,-5.39E-05,1.05E-03
916.0362,7.16E-04,6.69E-04,1.19E-05,2.64E-05,-1.37E-04,1.04E-03
917.9647,0.001002917,4.54E-04,4.52E-05,2.29E-05,5.93E-05,1.27E-03
919.8932,0.001008588,6.97E-04,1.79E-04,1.39E-04,2.74E-04,1.97E-03
921.8217,6.71E-04,7.23E-04,2.20E-04,1.10E-04,1.22E-04,1.84E-03
923.7502,2.21E-04,6.98E-04,-3.52E-05,1.45E-04,-5.77E-05,0.001202601
925.6786,-2.70E-05,7.83E-04,2.77E-05,1.54E-04,-2.09E-04,9.72E-04
927.6072,-1.50E-04,7.53E-04,1.28E-04,2.19E-04,-1.20E-04,1.05E-03
929.5356,-2.02E-04,6.21E-04,1.42E-04,1.55E-04,1.40E-04,1.16E-03
931.4642,-7.33E-05,5.59E-04,7.43E-05,1.82E-04,2.66E-04,1.14E-03
933.3926,6.99E-05,6.49E-04,1.77E-04,1.21E-04,2.99E-05,7.16E-04
935.3212,3.83E-04,5.05E-04,3.55E-04,-1.14E-05,-7.41E-05,3.50E-04
937.2496,8.49E-04,4.31E-04,9.43E-04,-6.49E-05,4.39E-05,9.98E-04
939.1782,0.001138409,5.81E-04,0.001352676,-3.98E-05,7.91E-05,1.54E-03
941.1066,0.001055201,9.84E-04,0.001482064,-1.19E-04,9.91E-05,1.66E-03
943.0352,9.46E-04,8.00E-04,0.001554846,4.83E-05,-2.70E-06,1.69E-03
944.9636,7.42E-04,3.18E-04,0.001674069,1.99E-04,-1.81E-04,0.001542315
946.8922,5.04E-04,-1.95E-04,0.001738963,-1.04E-04,-1.27E-04,0.001522517
948.8206,2.61E-04,-1.11E-04,0.001591653,-1.65E-04,1.76E-04,1.75E-03
950.7491,-6.75E-06,2.39E-04,0.001187021,3.07E-05,1.53E-04,1.54E-03
952.6776,-2.04E-04,1.29E-04,0.001039119,-3.60E-06,4.47E-05,1.21E-03
954.6061,-1.18E-04,-1.98E-04,0.001182204,2.07E-05,9.29E-05,1.29E-03
956.5346,3.57E-04,3.54E-04,0.001266137,-9.03E-05,2.86E-04,1.77E-03
958.4631,0.001207124,8.04E-04,0.001388138,-2.01E-04,3.38E-04,2.46E-03
960.3916,0.002098627,0.001235233,0.001570392,-1.05E-04,1.63E-04,3.17E-03
962.3201,0.003577441,0.001885088,0.001832769,-8.60E-05,1.45E-04,4.14E-03
964.2486,0.005614914,0.002375519,0.00251936,-8.38E-05,7.12E-05,0.00565746
966.1771,0.007365458,0.002078503,0.003669063,4.22E-05,-1.84E-05,0.007433756
968.1056,0.007868481,0.001893767,0.004325079,1.50E-04,2.12E-04,0.008582306
970.0341,0.006838685,0.00222729,0.003839341,1.93E-04,3.30E-04,0.007843056
971.9626,0.005324878,0.002599195,0.002485306,1.90E-04,1.72E-04,0.006042121
973.8911,0.004612612,0.002366725,0.001422499,2.57E-04,1.15E-04,0.005321652
975.8196,0.004862585,0.002291864,8.83E-04,4.61E-04,8.07E-05,0.005524389
977.7481,0.005766799,0.002726421,8.65E-04,6.27E-04,2.15E-05,0.006313212
979.6766,0.006483732,0.003052171,0.001135449,4.23E-04,1.62E-06,0.006685107
981.6051,0.006653166,0.003296861,0.001566708,4.41E-04,1.19E-04,0.006879799
983.5336,0.006599099,0.002787806,0.002064997,7.50E-04,4.50E-05,0.006905371
985.4621,0.006542213,0.002084758,0.002708693,9.25E-04,1.74E-04,0.007108795
987.3906,0.006663306,0.001484769,0.003464426,9.05E-04,2.73E-04,0.007217277
989.3191,0.00710365,0.001242253,0.004261245,0.001196902,2.89E-04,0.007858884
991.2476,0.007636963,0.001318959,0.004834134,0.001468497,2.45E-04,0.008514883
