,Actual Mixture,Fructose,HMF,Levulinic Acid,Formic Acid,Sum
Wavenumber,Concentration,0.533139452,0.392690111,0.267666844,0.13315276,
850.4673,9.96E-06,2.14E-04,-0.000371512,2.91E-05,3.47E-04,0.00021889
852.3958,1.12E-06,2.65E-04,-0.000484807,1.19E-04,2.23E-04,0.000122409
854.3243,5.91E-05,3.52E-04,-0.000144146,-9.44E-06,3.13E-04,5.12E-04
856.2528,4.25E-04,5.69E-04,9.31E-05,8.21E-05,3.30E-04,0.001074356
858.1813,9.83E-04,0.000629456,1.49E-04,1.55E-05,1.59E-04,0.000953545
860.1098,1.36E-03,0.001166282,-3.16E-05,-1.22E-04,7.00E-05,1.08E-03
862.0383,1.59E-03,1.46E-03,-3.11E-04,-1.39E-04,-1.19E-04,8.93E-04
863.9668,2.09E-03,0.001740566,-2.77E-04,3.78E-05,-1.09E-04,0.001391533
865.8953,2.54E-03,0.002200812,-1.06E-04,1.15E-05,1.61E-05,0.002121995
867.8238,2.63E-03,0.002261126,-9.26E-05,8.53E-06,-2.95E-05,2.15E-03
869.7523,2.53E-03,0.00213909,8.29693E-05,4.17E-05,-2.02E-04,2.06E-03
871.6808,2.13E-03,0.001859589,0.000287222,-4.66E-05,-7.59E-05,0.002024259
873.6093,1.62E-03,0.001492493,-1.80986E-05,-3.41E-05,0.000289379,1.73E-03
875.5378,1.29E-03,0.001103097,-0.000368643,-1.04E-04,1.77E-04,8.07E-04
877.4662,7.25E-04,6.30E-04,-0.000415654,5.03E-05,-2.46E-04,1.85E-05
879.3948,6.84E-05,3.00E-04,-2.33E-04,1.31E-04,-4.25E-04,-2.28E-04
881.3232,-7.54E-05,1.15E-04,-1.58E-05,1.77E-04,7.03E-05,3.47E-04
883.2518,-5.56E-05,1.03E-04,1.33E-05,3.81E-04,4.26E-04,9.23E-04
885.1802,7.38E-05,2.91E-04,9.08E-05,3.57E-04,3.33E-04,1.07E-03
887.1088,7.08E-05,4.45E-04,1.29E-04,2.65E-04,6.22E-05,9.01E-04
889.0372,2.11E-04,3.58E-04,-7.68E-05,1.73E-04,-7.87E-05,3.76E-04
890.9658,4.40E-04,2.95E-04,-7.49E-05,0.000123963,-1.74E-04,1.70E-04
892.8942,5.16E-04,2.52E-04,4.56E-05,1.17459E-06,-2.60E-04,3.89E-05
894.8227,5.45E-04,6.82E-05,0.000260283,-1.18E-04,5.30E-05,2.64E-04
896.7512,6.97E-04,1.37E-04,0.00018522,-7.57E-05,2.59E-04,5.06E-04
898.6797,7.32E-04,2.73E-04,1.08E-05,1.66E-04,4.15E-05,4.91E-04
900.6082,4.25E-04,1.54E-04,-1.83E-05,2.44E-04,-6.91E-05,3.10E-04
902.5367,2.66E-04,4.43E-06,-1.80E-05,7.46E-05,-5.52E-05,5.79E-06
904.4652,2.25E-04,1.07E-04,5.52054E-05,2.14E-04,2.75E-05,0.000403387
906.3937,1.52E-04,8.83E-05,4.17E-05,2.63E-04,2.03E-04,5.96E-04
908.3222,2.35E-04,1.73E-04,5.94E-05,8.84E-05,1.30E-04,4.50E-04
910.2507,3.76E-04,4.24E-04,7.83E-05,2.27E-05,-1.30E-04,0.000395314
912.1792,4.37E-04,4.15E-04,-1.19E-04,2.00E-05,1.05E-04,0.000420852
914.1077,6.70E-04,0.00052438,1.20E-05,8.79E-05,3.01E-04,9.25E-04
916.0362,9.75E-04,1.07E-03,7.09E-05,-1.77E-06,1.42E-04,0.001279963
917.9647,1.15E-03,1.58E-03,-5.99E-05,-2.05E-04,6.27E-05,0.001376334
919.8932,1.19E-03,1.77E-03,1.59E-06,-2.77E-04,6.17E-05,0.001552554
921.8217,1.12E-03,1.65E-03,4.23E-05,-4.14E-05,5.28E-05,0.001706108
923.7502,8.04E-04,1.33E-03,3.81E-05,0.000327014,-8.34E-05,0.001607504
925.6786,4.74E-04,1.11E-03,-5.30E-05,3.71E-04,-1.90E-04,0.001238775
927.6072,3.12E-04,1.04E-03,-6.74E-05,4.76E-05,-3.14E-04,7.03E-04
929.5356,2.61E-06,5.82E-04,-7.06E-05,7.24E-05,-2.39E-04,3.45E-04
931.4642,1.34E-04,3.23E-04,1.32E-04,1.76E-04,1.57E-05,0.000646099
933.3926,4.88E-04,4.95E-04,4.85E-04,3.37E-05,1.85E-04,0.001198151
935.3212,7.92E-04,5.88E-04,8.46E-04,2.36E-05,1.58E-04,0.001615406
937.2496,1.14E-03,5.59E-04,1.14E-03,6.48E-05,1.47E-04,0.001913004
939.1782,1.43E-03,5.93E-04,1.43E-03,6.04E-05,4.82E-05,0.002134876
941.1066,0.001685736,3.68E-04,1.72E-03,2.42E-04,-1.00E-04,0.002234383
943.0352,0.001859361,1.26E-04,1.82E-03,2.71E-04,-5.85E-05,0.002160827
944.9636,1.88E-03,2.55E-04,1.90E-03,2.66E-04,-5.39E-05,2.37E-03
946.8922,1.67E-03,2.11E-04,0.001699412,5.52E-05,-1.31E-04,0.001835318
948.8206,1.47E-03,1.03E-04,0.001623556,-8.63E-06,-2.14E-04,0.001504291
950.7491,1.20E-03,-3.75E-05,1.43E-03,-4.49E-05,-1.82E-04,0.001164263
952.6776,1.10E-03,-1.43E-04,1.31E-03,-1.35E-04,-1.08E-04,9.28E-04
954.6061,1.45E-03,4.71E-05,1.40E-03,-4.20E-05,9.07E-05,1.50E-03
956.5346,1.97E-03,6.43E-04,1.26E-03,-6.52E-05,2.31E-04,0.002073751
958.4631,2.62E-03,1.30E-03,0.001422015,-2.56E-04,1.91E-04,0.002659467
960.3916,3.55E-03,0.001936259,1.60E-03,-2.52E-04,-1.49E-05,0.003270836
962.3201,0.005034089,0.002844586,0.001851711,-1.61E-04,3.70E-05,0.004572444
964.2486,0.007066618,0.003870436,0.002577571,-8.11E-05,1.71E-04,0.006538266
966.1771,0.008931904,0.004591585,0.003542334,-1.02E-04,7.42E-05,0.0081059
968.1056,0.009601703,0.004647353,0.004169677,-4.48E-05,8.49E-05,0.008857135
970.0341,0.008639389,0.004235555,0.00374069,5.57E-05,7.96E-05,0.008111573
971.9626,0.006999566,0.003883035,0.002549784,2.41E-04,3.44E-05,0.006708194
973.8911,0.006295424,0.004026927,0.001785243,1.92E-04,1.10E-04,0.006114262
975.8196,0.006584761,0.004635075,0.001406337,7.58E-05,1.24E-04,0.006241196
977.7481,0.007403589,0.00541746,1.23E-03,-1.18E-05,5.01E-05,0.006685166
979.6766,0.008229486,0.00593797,0.00141732,-4.54E-05,-9.43E-05,0.007215547
981.6051,0.008358494,0.005809084,0.001584073,6.96E-05,-9.90E-05,0.00736384
983.5336,0.008187991,0.004992564,0.001857365,2.06E-04,-1.89E-05,0.00703669
985.4621,0.007900139,0.00392867,0.002317391,3.04E-04,7.15E-05,0.006621411
987.3906,0.007788706,0.003178064,0.003086094,3.32E-04,1.06E-04,0.006702695
989.3191,0.008013874,0.002882857,0.003844889,4.42E-04,8.49E-05,0.007254817
991.2476,0.008178451,0.002791106,0.004368723,3.68E-04,1.81E-04,0.007708521
993.1761,0.008116269,2.58E-03,0.004465625,2.68E-04,4.90E-05,0.007358231
995.1046,0.007961336,0.002461849,0.004365433,3.50E-04,-2.60E-04,0.006917039
997.0331,0.007535134,0.002508658,0.004207306,3.44E-04,-2.94E-04,0.00676597
998.9615,0.007068541,0.002595328,0.003978075,3.16E-04,-1.09E-04,0.006779798
1000.89,0.006968728,0.002658567,0.003693458,1.75E-04,9.90E-06,0.006536586
1002.819,0.007266921,0.002961344,0.003566079,-8.26E-05,1.24E-04,0.006569084
1004.747,0.007855653,0.003376277,0.003670839,-1.02E-04,1.43E-04,0.007088947
1006.676,0.008682026,0.003880893,0.003910991,3.03E-05,4.43E-05,0.007866524
1008.604,0.009967028,0.004627868,0.004398569,4.93E-05,-1.45E-04,0.00893112
1010.533,0.011481431,0.005463014,0.005061184,-3.54E-05,-9.18E-05,0.010396932
1012.461,0.013003393,0.006042568,0.005712956,-3.08E-04,-2.74E-05,0.011420397
1014.39,0.014482586,0.00663561,0.006313626,-3.81E-04,1.11E-04,0.012679759
1016.318,0.015760768,0.006939697,0.007256249,-1.02E-04,2.24E-04,0.014317972
1018.247,0.017030581,0.006955812,0.008457481,1.84E-04,1.34E-04,0.015731505
1020.175,0.018535583,0.006888823,0.009796637,9.60E-05,-3.24E-05,0.016749044
1022.104,0.020674586,0.007015355,0.011203738,5.68E-05,2.93E-06,0.018278831
1024.032,0.023527178,0.007598534,0.012844826,3.21E-04,9.22E-05,0.020856215
1025.961,0.025473761,0.008551789,0.014123346,6.00E-04,1.35E-04,0.023410298
1027.889,0.025657333,0.009851437,0.013960584,3.73E-04,9.45E-05,0.024279673
1029.818,0.024367616,0.011141502,0.011653624,-5.05E-06,4.58E-05,0.022835863
1031.746,0.022330218,0.012329111,0.008631242,5.79E-05,8.47E-05,0.021102967
1033.675,0.020672341,0.013224896,0.006065861,2.27E-04,1.26E-04,0.019643734
1035.603,0.019626533,0.013814404,0.004400966,1.47E-04,2.89E-05,0.0183916
1037.531,0.018921755,0.014088223,0.003308323,-2.18E-04,-2.82E-04,0.016895995
1039.46,0.018341138,0.014461708,0.002622746,-2.48E-04,-3.80E-04,0.016457014
1041.389,0.018190321,0.014964163,0.002196537,-3.21E-05,-1.75E-04,0.016953443
1043.317,0.018595253,0.015600131,0.001673125,-1.93E-05,-9.20E-05,0.017162007
1045.245,0.019166315,0.01641087,0.001244635,-7.59E-05,-1.84E-04,0.017395818
1047.174,0.020082438,0.017711355,0.000959579,-1.90E-05,-2.41E-04,0.018411234
1049.103,0.021674111,0.01924343,0.000695988,5.31E-05,1.64E-05,0.020008913
1051.031,0.023862213,0.021096908,0.000699998,5.71E-05,3.28E-05,0.021886782
1052.959,0.026341305,0.023473437,8.73E-04,1.12E-04,-1.52E-04,0.024306827
1054.888,0.029085618,0.026222992,9.54E-04,6.66E-05,-1.98E-05,0.02722393
1056.817,0.031899141,0.028955927,0.001132959,-8.02E-05,2.13E-04,0.030221207
1058.745,0.034433493,0.031132525,0.001216397,-1.75E-04,1.12E-04,0.032285898
1060.673,0.036244445,0.032777164,0.001156615,-1.48E-04,-1.49E-04,0.033636714
1062.602,0.037173448,0.033956179,0.001221155,-5.75E-05,-3.64E-04,0.034755809
